model,problem_name,problem_type,language,parallelism_model,output_number,phase,source,num_threads,error_type,error_message,did_build,is_source_valid,did_any_run,did_all_run,are_any_valid,are_all_valid
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,4,runtime,run[0],1,Runtime_Error,terminate called after throwing an instance of 'std::runtime_error',True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,4,runtime,run[0],1,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,10,runtime,run[0],1,Runtime_Error,terminate called after throwing an instance of 'std::runtime_error',True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,10,runtime,run[0],1,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,19,runtime,run[0],1,Runtime_Error,terminate called after throwing an instance of 'std::runtime_error',True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,19,runtime,run[0],1,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,27,runtime,run[0],1,Runtime_Error,terminate called after throwing an instance of 'std::runtime_error',True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,27,runtime,run[0],1,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,30,runtime,run[0],1,Runtime_Error,terminate called after throwing an instance of 'std::runtime_error',True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,30,runtime,run[0],1,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,41,runtime,run[0],1,Runtime_Error,{what}: Segmentation fault,True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,41,runtime,run[0],1,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,93,runtime,run[0],1,Runtime_Error,terminate called after throwing an instance of 'std::runtime_error',True,True,False,False,False,False
oss,45_sparse_la_sparse_solve,sparse_la,cpp,hpx,93,runtime,run[0],1,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,False,False,False,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,53,runtime,run[0],1,Runtime_Error,{what}: Segmentation fault,True,True,False,False,False,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,53,runtime,run[0],1,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,False,False,False,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,97,runtime,run[2],4,Runtime_Error,"0x740463b6384a  : std::__exception_ptr::exception_ptr hpx::detail::get_exception<hpx::exception>(hpx::exception const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [0x8a] in /work/pi_mrobson_smith_edu/hpx_practice/hpx/install_w_tcmalloc/lib/libhpx.so.1",True,True,True,False,True,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,97,runtime,run[2],4,Runtime_Error,"0x740463b63921  : void hpx::detail::throw_exception<hpx::exception>(hpx::exception const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long) [0x61] in /work/pi_mrobson_smith_edu/hpx_practice/hpx/install_w_tcmalloc/lib/libhpx.so.1",True,True,True,False,True,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,97,runtime,run[2],4,Runtime_Error,"0x740463b69470  : hpx::detail::throw_exception(hpx::error, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long) [0x90] in /work/pi_mrobson_smith_edu/hpx_practice/hpx/install_w_tcmalloc/lib/libhpx.so.1",True,True,True,False,True,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,97,runtime,run[2],4,Runtime_Error,"0x740463b6384a  : std::__exception_ptr::exception_ptr hpx::detail::get_exception<hpx::exception>(hpx::exception const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [0x8a] in /work/pi_mrobson_smith_edu/hpx_practice/hpx/install_w_tcmalloc/lib/libhpx.so.1",True,True,True,False,True,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,97,runtime,run[2],4,Runtime_Error,"0x740463b63921  : void hpx::detail::throw_exception<hpx::exception>(hpx::exception const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long) [0x61] in /work/pi_mrobson_smith_edu/hpx_practice/hpx/install_w_tcmalloc/lib/libhpx.so.1",True,True,True,False,True,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,97,runtime,run[2],4,Runtime_Error,"0x740463b69470  : hpx::detail::throw_exception(hpx::error, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long) [0x90] in /work/pi_mrobson_smith_edu/hpx_practice/hpx/install_w_tcmalloc/lib/libhpx.so.1",True,True,True,False,True,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,97,runtime,run[2],4,Runtime_Error,"0x740463a7853e  : hpx::runtime_distributed::report_error(unsigned long, std::__exception_ptr::exception_ptr const&, bool) [0x1ae] in /work/pi_mrobson_smith_edu/hpx_practice/hpx/install_w_tcmalloc/lib/libhpx.so.1",True,True,True,False,True,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,97,runtime,run[2],4,Runtime_Error,"0x740463ca4b46  : hpx::threads::detail::scheduled_thread_pool<hpx::threads::policies::local_priority_queue_scheduler<std::mutex, hpx::threads::policies::lockfree_fifo, hpx::threads::policies::lockfree_fifo, hpx::threads::policies::lockfree_lifo> >::report_error(unsigned long, std::__exception_ptr::exception_ptr const&) [0x46] in /work/pi_mrobson_smith_edu/hpx_practice/hpx/install_w_tcmalloc/lib/libhpx.so.1",True,True,True,False,True,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,97,runtime,run[2],4,Runtime_Error,{what}: Segmentation fault,True,True,True,False,True,False
oss,47_sparse_la_spmv,sparse_la,cpp,hpx,97,runtime,run[2],4,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,True,False,True,False
oss,49_sparse_la_sparse_lu_decomp,sparse_la,cpp,hpx,1,runtime,run[0],1,Runtime_Error,terminate called after throwing an instance of 'std::runtime_error',True,True,False,False,False,False
oss,49_sparse_la_sparse_lu_decomp,sparse_la,cpp,hpx,1,runtime,run[0],1,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,False,False,False,False
oss,49_sparse_la_sparse_lu_decomp,sparse_la,cpp,hpx,4,runtime,run[0],1,Runtime_Error,terminate called after throwing an instance of 'std::runtime_error',True,True,False,False,False,False
oss,49_sparse_la_sparse_lu_decomp,sparse_la,cpp,hpx,4,runtime,run[0],1,Runtime_Error,srun: error: cpu049: task 0: Exited with exit code 255,True,True,False,False,False,False
oss,49_sparse_la_sparse_lu_decomp,sparse_la,cpp,hpx,9,runtime,run[0],1,Runtime_Error,terminate called after throwing an instance of 'std::runtime_error',True,True,False,False,False,False
