prompt_type,model_name,Syntax_Error,Type_Error,Declaration_Or_Function_Call_Error,Linker_Error,Runtime_Error
fft,gpt5,264,368,158,0,0
fft,hpc-coder,23,53,13,0,0
fft,magicoder,678,831,1573,0,0
fft,oss,1388,490,94,0,2
fft,sonnet,77,1585,500,0,0
futures_promises,gpt5,65,2986,674,0,7
futures_promises,hpc-coder,116,1542,418,0,230
futures_promises,magicoder,0,5600,1200,0,0
futures_promises,oss,4,2928,473,0,80
futures_promises,sonnet,49,344,43,0,2
geometry,gpt5,180,228,13,0,0
geometry,hpc-coder,163,397,66,0,27
geometry,magicoder,132,102,79,0,181
geometry,oss,2667,479,135,0,4
geometry,sonnet,231,455,32,0,29
graph,gpt5,392,211,200,0,0
graph,hpc-coder,100,0,0,0,0
graph,magicoder,241,85,47,0,19
graph,oss,1197,934,198,0,6
graph,sonnet,211,22,0,0,17
histogram,gpt5,74,168,1,0,0
histogram,hpc-coder,7,15,42,0,0
histogram,magicoder,570,532,45,0,1
histogram,oss,1342,323,92,0,4
histogram,sonnet,5,223,68,0,0
dense_la,gpt5,243,194,11,0,0
dense_la,hpc-coder,21,235,56,0,4
dense_la,magicoder,531,922,301,0,7
dense_la,oss,229,202,20,0,0
dense_la,sonnet,9528,5249,1628,0,0
sparse_la,gpt5,293,519,120,1,171
sparse_la,hpc-coder,11,222,56,0,3
sparse_la,magicoder,404,488,354,0,8
sparse_la,oss,909,795,129,3,47
sparse_la,sonnet,6496,5799,2280,0,0
locking_contention,gpt5,358,801,172,0,0
locking_contention,hpc-coder,81,1143,379,2,172
locking_contention,magicoder,971,1211,38,0,0
locking_contention,oss,62,252,48,0,17
locking_contention,sonnet,32,208,52,0,12
reduce,gpt5,229,102,0,0,0
reduce,hpc-coder,37,4,0,0,6
reduce,magicoder,566,841,322,0,5
reduce,oss,2104,330,20,0,0
reduce,sonnet,29,79,16,0,0
scan,gpt5,954,122,0,0,0
scan,hpc-coder,900,107,0,0,0
scan,magicoder,1058,446,4,0,0
scan,oss,1413,180,10,0,0
scan,sonnet,944,266,8,0,0
search,gpt5,1107,4480,0,0,0
search,hpc-coder,500,1700,0,0,29
search,magicoder,1128,2719,306,0,12
search,oss,1600,3813,39,0,0
search,sonnet,1108,6444,0,0,0
sort,gpt5,293,204,42,0,0
sort,hpc-coder,0,246,0,0,0
sort,magicoder,208,971,4,0,6
sort,oss,3078,597,249,0,1
sort,sonnet,111,94,24,0,0
stencil,gpt5,109,320,6,0,0
stencil,hpc-coder,7,106,30,0,0
stencil,magicoder,650,714,187,0,5
stencil,oss,132,303,5,0,0
stencil,sonnet,0,504,92,0,0
transform,gpt5,213,108,0,0,0
transform,hpc-coder,75,13,0,0,42
transform,magicoder,248,864,1,0,4
transform,oss,20,90,1,0,0
transform,sonnet,11,1172,392,0,0
