category,model,null_rate_percent
fft,gpt5_combined,54.751131221719454
fft,hpc-coder_combined,100.0
fft,starcoder_combined,100.0
fft,magicoder_combined,60.84656084656085
fft,sonnet_combined,45.86206896551724
fft,glm_combined,55.0
fft,oss_combined,19.62962962962963
fft,minimax_combined,27.272727272727273
futures_promises,gpt5_combined,4.0
futures_promises,hpc-coder_combined,71.06918238993711
futures_promises,starcoder_combined,82.94930875576037
futures_promises,magicoder_combined,
futures_promises,sonnet_combined,13.190184049079754
futures_promises,glm_combined,11.11111111111111
futures_promises,oss_combined,8.108108108108109
futures_promises,minimax_combined,50.0
geometry,gpt5_combined,0.3003003003003003
geometry,hpc-coder_combined,71.83098591549296
geometry,starcoder_combined,78.76857749469214
geometry,magicoder_combined,61.53846153846154
geometry,sonnet_combined,3.4615384615384617
geometry,glm_combined,57.142857142857146
geometry,oss_combined,2.7149321266968327
geometry,minimax_combined,14.285714285714286
graph,gpt5_combined,16.044776119402986
graph,hpc-coder_combined,99.5
graph,starcoder_combined,91.51670951156812
graph,magicoder_combined,27.8125
graph,sonnet_combined,23.795180722891565
graph,glm_combined,66.66666666666667
graph,oss_combined,17.482517482517483
graph,minimax_combined,33.333333333333336
histogram,gpt5_combined,0.0
histogram,hpc-coder_combined,95.49180327868852
histogram,starcoder_combined,100.0
histogram,magicoder_combined,79.4392523364486
histogram,sonnet_combined,0.0
histogram,glm_combined,85.90604026845638
histogram,oss_combined,5.498281786941581
histogram,minimax_combined,0.0
la,gpt5_combined,9.7165991902834
la,hpc-coder_combined,88.93805309734513
la,starcoder_combined,100.0
la,magicoder_combined,63.86946386946387
la,sonnet_combined,11.578947368421053
la,glm_combined,59.09090909090909
la,oss_combined,11.940298507462687
la,minimax_combined,11.464968152866241
locking_contention,gpt5_combined,11.079545454545455
locking_contention,hpc-coder_combined,70.65637065637065
locking_contention,starcoder_combined,65.48387096774194
locking_contention,magicoder_combined,100.0
locking_contention,sonnet_combined,16.33109619686801
locking_contention,glm_combined,46.464646464646464
locking_contention,oss_combined,26.08695652173913
locking_contention,minimax_combined,75.0
reduce,gpt5_combined,0.2570694087403599
reduce,hpc-coder_combined,91.35021097046413
reduce,starcoder_combined,86.8
reduce,magicoder_combined,26.515151515151516
reduce,sonnet_combined,0.646551724137931
reduce,glm_combined,8.270676691729323
reduce,oss_combined,0.0
reduce,minimax_combined,3.111111111111111
scan,gpt5_combined,5.91016548463357
scan,hpc-coder_combined,98.55072463768116
scan,starcoder_combined,99.38900203665987
scan,magicoder_combined,52.56410256410256
scan,sonnet_combined,22.189349112426036
scan,glm_combined,51.92307692307692
scan,oss_combined,20.833333333333332
scan,minimax_combined,29.487179487179485
search,gpt5_combined,0.0
search,hpc-coder_combined,75.80645161290323
search,starcoder_combined,73.71134020618557
search,magicoder_combined,7.954545454545454
search,sonnet_combined,0.0
search,glm_combined,26.74418604651163
search,oss_combined,0.0
search,minimax_combined,0.0
sort,gpt5_combined,2.9535864978902953
sort,hpc-coder_combined,99.46949602122015
sort,starcoder_combined,100.0
sort,magicoder_combined,11.11111111111111
sort,sonnet_combined,5.645161290322581
sort,glm_combined,16.740088105726873
sort,oss_combined,3.041825095057034
sort,minimax_combined,4.301075268817204
stencil,gpt5_combined,22.699386503067483
stencil,hpc-coder_combined,100.0
stencil,starcoder_combined,100.0
stencil,magicoder_combined,92.63157894736842
stencil,sonnet_combined,24.099722991689752
stencil,glm_combined,19.047619047619047
stencil,oss_combined,24.462365591397848
stencil,minimax_combined,8.737864077669903
transform,gpt5_combined,0.0
transform,hpc-coder_combined,73.92344497607655
transform,starcoder_combined,85.88709677419355
transform,magicoder_combined,6.122448979591836
transform,sonnet_combined,0.0
transform,glm_combined,5.466237942122186
transform,oss_combined,9.132420091324201
transform,minimax_combined,2.088772845953003
