model,execution model,prompt,build@1,pass@1,strict_pass@1,speedup@1,speedup_max@1,efficiency@1,efficiency_max@1,build@5,pass@5,strict_pass@5,speedup@5,speedup_max@5,efficiency@5,efficiency_max@5,build@10,pass@10,strict_pass@10,speedup@10,speedup_max@10,efficiency@10,efficiency_max@10,build@20,pass@20,strict_pass@20,speedup@20,speedup_max@20,efficiency@20,efficiency_max@20,max_new_tokens,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times
hpc-coder,hpx,00_dense_la_lu_decomp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,20759306.24,26682.8,0.6271,26680.566666666666,0.46618333333333334,3.684038670063019
hpc-coder,hpx,01_dense_la_solve,0.9959349593495935,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,12690098.991869919,41883.29268292683,0.5855487804878048,41847.361498257844,0.4007752613240418,5.230095462585853
hpc-coder,hpx,02_dense_la_gemm,0.9343434343434344,0.2799999999999999,0.2799999999999999,0.6190639033743646,0.6203780904586428,0.12342380784725919,0.1269683445336411,0.999999168603878,0.8141585218904807,0.8141585218904807,0.13283680768780035,0.13636682119419596,0.035214190487978164,0.07121369055649633,0.9999999999997721,0.9690235501794272,0.9690235501794272,0.09114082061536324,0.0941349334076178,0.03147136247088298,0.060480761413680285,1,0.9994178008642528,0.9994178008642528,0.08774645031306336,0.08876661939714185,0.027920247456032825,0.045696791859517076,2048.0,45507346.1010101,44545.0,0.6900252525252525,44545.0,0.5235214045214045,6.907560264221345
hpc-coder,hpx,03_dense_la_axpy,0.963302752293578,0.1399999999999999,0.1399999999999999,0.5313038706858976,0.5663073419678947,0.20612589835933728,0.44755563957844063,0.9999999659570837,0.5374226432216123,0.5374226432216123,0.4546950668351224,0.4798546294030652,0.15872751321798856,0.4342661755578636,0.9999999999999999,0.7954459097247004,0.7954459097247004,0.44987321566027844,0.47895043014538563,0.14207521343208837,0.4285886188899646,1,0.9658688259540669,0.9658688259540669,7.438254189602567,7.9283027875505265,0.11094689520267416,6.2657789540981685,2048.0,-135934609.6146789,44545.0,0.7963532110091742,44545.0,0.49047967938449594,4.776559048289553
hpc-coder,hpx,04_dense_la_gemv,0.9829059829059829,0.54,0.54,1.159512797941776,1.8370709883589673,0.5017690006411337,1.0926228618934761,0.9999999996941914,0.9817930780559646,0.9817930780559646,0.7215070364078422,0.8123226951281787,0.2786235506741346,0.6867090973063503,1.0,0.9997645131399148,0.9997645131399148,0.6864407856951443,0.7816266243932327,0.2602285157967459,0.6778364167462818,1,0.9999999895365541,0.9999999895365541,0.6615895930783502,0.7659814433139482,0.23960932951303968,0.6982823412145154,2048.0,35142279.658119656,44545.0,0.9010683760683761,44545.0,0.6318707321485099,7.474143588644827
hpc-coder,hpx,45_sparse_la_sparse_solve,0.9579439252336448,0.010000000000000009,0.010000000000000009,0.616856560322931,3.0922835791250485,0.9933597072193276,1.4372912914897669,0.9999999267133831,0.050000000000000044,0.050000000000000044,0.616856560322931,3.0922835791250485,4.966798536096637,1.4372912914897669,0.9999999999999991,0.09999999999999998,0.09999999999999998,0.616856560322931,3.0922835791250485,4.966798536096637,1.4372912914897669,1,0.19999999999999996,0.19999999999999996,0.616856560322931,3.0922835791250485,4.966798536096637,1.4372912914897669,2048.0,-20300311.925233644,44545.0,0.9704439252336448,44545.0,0.7998447034317362,12.544638824240069
hpc-coder,hpx,46_sparse_la_spmm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,33053982.72,44545.0,0.32939999999999997,44545.0,0.1971,2.913569884300232
hpc-coder,hpx,47_sparse_la_spmv,0.955188679245283,0.06000000000000005,0.06000000000000005,0.9191742588507228,2.196705725694584,0.623714319747724,0.9857611705536407,0.9999998957355617,0.2709147810951935,0.2709147810951935,1.3924403256532951,1.255903212953724,0.3647786460879598,1.0387998322126553,0.999999999999998,0.47769525064502194,0.47769525064502194,5.515045553104336,17.573645805556673,0.31388126911763137,7.886089364429125,1,0.7479135984290624,0.7479135984290624,5.515045553104336,17.573645805556673,0.21364321437486825,7.886089364429125,2048.0,51297521.50943396,44545.0,0.956816037735849,44545.0,0.673032822327044,6.359023226881927
hpc-coder,hpx,48_sparse_la_sparse_axpy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,31071272.96,44545.0,0.7532,44545.0,0.5310499999999999,3.967583613395691
hpc-coder,hpx,49_sparse_la_sparse_lu_decomp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,-120106024.96,44545.0,0.9581999999999999,44545.0,0.6317342857142857,6.730446107387543
