model,execution model,prompt,build@1,pass@1,strict_pass@1,speedup@1,speedup_max@1,efficiency@1,efficiency_max@1,build@5,pass@5,strict_pass@5,speedup@5,speedup_max@5,efficiency@5,efficiency_max@5,build@10,pass@10,strict_pass@10,speedup@10,speedup_max@10,efficiency@10,efficiency_max@10,build@20,pass@20,strict_pass@20,speedup@20,speedup_max@20,efficiency@20,efficiency_max@20,max_new_tokens,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times
starcoder,hpx,00_dense_la_lu_decomp,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2048.0,39335485.44,31425.0,0.97,31422.841379310343,0.9274710811911602,55.58137300014496
starcoder,hpx,01_dense_la_solve,0.9917355371900827,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,2048.0,827527.4049586777,31427.0,0.969896694214876,31426.991450555714,0.9265647408141593,54.86936453896121
starcoder,hpx,02_dense_la_gemm,0.9579439252336448,0,0,0.0,0.0,0.0,0.0,0.9999999267133831,0,0,0.0,0.0,0.0,0.0,0.9999999999999991,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,2048.0,147010272.89719626,31482.345794392524,0.9698831775700935,31482.345794392524,0.926382198910719,55.138544386792404
starcoder,hpx,03_dense_la_axpy,0.9806034482758621,0,0,0.0,0.0,0.0,0.0,0.9999999992816235,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,2048.0,-49758163.862068966,31483.0,0.969676724137931,31483.0,0.9114363601200475,50.46376686928601
starcoder,hpx,04_dense_la_gemv,0.9343434343434344,0,0,0.0,0.0,0.0,0.0,0.999999168603878,0,0,0.0,0.0,0.0,0.0,0.9999999999997721,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,2048.0,185866539.95959595,31483.0,0.97,31483.0,0.9181207760777651,51.571302989516596
starcoder,hpx,45_sparse_la_sparse_solve,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,2048.0,-40106721.28,31483.0,0.97,31483.0,0.9234646990824259,53.783449258804325
starcoder,hpx,46_sparse_la_spmm,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,2048.0,344637.44,31483.0,0.9699,31483.0,0.8900913831368091,44.45265140533447
starcoder,hpx,47_sparse_la_spmv,0.9959349593495935,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,2048.0,5832820.552845528,31483.0,0.9695934959349592,31483.0,0.9081890374389765,49.173179851314885
starcoder,hpx,48_sparse_la_sparse_axpy,0.9979838709677419,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,2048.0,-184332989.93548387,31483.0,0.97,31483.0,0.9310102701746007,54.97409309254539
starcoder,hpx,49_sparse_la_sparse_lu_decomp,0.9979838709677419,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,2048.0,35132638.96774194,31483.0,0.97,31483.0,0.930867987710066,55.14106444870272
